DataSeries,19931Q,19924Q,19923Q,19922Q,19921Q,19914Q,19913Q,19912Q,19911Q,20252Q,20251Q,20244Q,20243Q,20242Q,20241Q,20234Q,20233Q,20232Q,20231Q,20224Q,20223Q,20222Q,20221Q,20214Q,20213Q,20212Q,20211Q,20204Q,20203Q,20202Q,20201Q,20194Q,20193Q,20192Q,20191Q,20184Q,20183Q,20182Q,20181Q,20174Q,20173Q,20172Q,20171Q,20164Q,20163Q,20162Q,20161Q,20154Q,20153Q,20152Q,20151Q,20144Q,20143Q,20142Q,20141Q,20134Q,20133Q,20132Q,20131Q,20124Q,20123Q,20122Q,20121Q,20114Q,20113Q,20112Q,20111Q,20104Q,20103Q,20102Q,20101Q,20094Q,20093Q,20092Q,20091Q,20084Q,20083Q,20082Q,20081Q,20074Q,20073Q,20072Q,20071Q,20064Q,20063Q,20062Q,20061Q,20054Q,20053Q,20052Q,20051Q,20044Q,20043Q,20042Q,20041Q,20034Q,20033Q,20032Q,20031Q,20024Q,20023Q,20022Q,20021Q,20014Q,20013Q,20012Q,20011Q,20004Q,20003Q,20002Q,20001Q,19994Q,19993Q,19992Q,19991Q,19984Q,19983Q,19982Q,19981Q,19974Q,19973Q,19972Q,19971Q,19964Q,19963Q,19962Q,19961Q,19954Q,19953Q,19952Q,19951Q,19944Q,19943Q,19942Q,19941Q,19934Q,19933Q,19932Q
Total Multiple-User Factory Space,na,na,na,na,na,na,na,na,na,1003,1079,1017,861,918,854,833,672,766,579,790,899,992,1141,1450,1449,1561,1613,1651,1634,1650,1754,1803,1718,1728,1711,1700,1513,1360,1460,1337,1497,1341,1375,1497,1605,1690,1802,1951,1990,2111,2258,1938,2103,2360,2268,2230,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Under Construction,na,na,na,na,na,na,na,na,na,555,534,471,495,512,433,349,353,440,453,603,771,864,1032,1340,1337,1441,1516,1439,1415,1354,1433,1485,1469,1333,1032,922,831,871,992,957,1234,1270,1165,1281,1085,1133,1184,1360,1365,1379,1400,1218,1241,1267,1395,1262,1362,1398,1259,1275,1317,1083,969,877,923,988,743,722,604,519,520,539,482,586,778,859,889,768,705,578,495,470,500,607,645,633,477,534,419,311,318,356,401,516,477,541,595,665,579,606,1023,1134,996,1193,1240,1246,1170,1251,1253,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Planned - Written Permission,na,na,na,na,na,na,na,na,na,25,48,51,42,33,41,72,26,40,31,82,82,64,48,49,49,69,44,169,166,224,109,76,76,167,336,355,340,138,134,100,16,9,19,19,346,350,425,15,16,45,88,92,148,120,152,95,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Planned - Provisional Permission,na,na,na,na,na,na,na,na,na,157,111,41,50,46,72,53,99,91,44,54,46,64,61,61,62,51,53,43,53,71,211,160,91,115,173,336,263,351,334,280,242,62,191,129,108,140,140,522,144,77,175,186,104,95,146,234,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Planned - Others,na,na,na,na,na,na,na,na,na,266,386,455,275,327,308,359,195,195,51,51,0,0,0,0,0,0,0,0,0,0,0,82,82,113,170,87,79,0,0,0,5,0,0,67,67,67,53,53,465,610,595,442,609,878,574,639,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Total Single-User Factory Space,na,na,na,na,na,na,na,na,na,2183,1735,1726,2034,1947,1731,1484,1527,1795,1887,2053,2268,2271,2057,1998,2001,2066,2084,2014,1998,2014,1974,1893,1848,2006,2119,2215,2307,2110,1846,1523,1689,1627,1715,1724,1876,2231,2282,2106,2237,2442,2311,2294,2335,2435,2352,2299,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Under Construction,na,na,na,na,na,na,na,na,na,1440,1067,1083,1396,1006,1136,988,1027,1287,1374,1445,1660,1528,1307,1379,1405,1428,1442,1440,1385,1270,1303,1207,1194,1446,1436,1515,1305,1233,1221,949,1023,1037,1017,1071,1243,1501,1559,1505,1621,1851,1642,1507,1515,1603,1592,1599,1657,1687,1832,1697,1654,1610,1464,1398,1270,1172,1193,1117,1075,1049,1067,1084,1304,1437,1545,1548,1799,2006,1463,1495,1457,1443,1376,1258,1157,1089,1007,862,837,846,812,823,808,874,931,876,940,980,1022,1171,1280,1386,1941,2007,2162,2286,1926,1854,1782,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Planned - Written Permission,na,na,na,na,na,na,na,na,na,464,440,413,378,640,341,321,307,327,327,374,376,518,565,389,361,388,451,437,416,412,387,483,354,423,260,232,236,247,287,279,305,331,326,323,353,336,339,318,307,305,317,320,329,343,387,426,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Planned - Provisional Permission,na,na,na,na,na,na,na,na,na,151,115,117,189,222,180,56,66,48,69,107,107,97,78,104,153,160,120,48,100,234,199,122,205,77,340,413,447,329,119,114,145,143,181,177,86,215,200,123,159,139,180,267,318,289,225,239,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
    Planned - Others,na,na,na,na,na,na,na,na,na,128,113,113,72,79,74,118,128,133,117,127,125,128,107,125,82,90,71,89,97,98,86,81,95,60,83,56,318,301,220,181,216,115,192,154,195,179,183,161,151,148,172,199,173,200,149,35,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
