shs_year,flat_type,number
2008,1-room,0.9
2008,2-room,1
2008,3-room,1.4
2008,4-room,1.8
2008,5-room,1.9
2008,Executive,2
2008,All,1.7
2013,1-room,0.8
2013,2-room,1.1
2013,3-room,1.5
2013,4-room,1.9
2013,5-room,1.9
2013,Executive,2
2013,All,1.8
