quarter,ec_launched_status,type_of_sale,units
2014-Q1,Uncompleted EC,New sale,148
2014-Q2,Completed EC,New sale,1
2014-Q2,EC 10 years or more from TOP,Resale,50
2014-Q2,EC Launched,na,0
2014-Q2,EC Less than 10 years from TOP,Resale,23
2014-Q2,Uncompleted EC,New sale,153
2014-Q3,Completed EC,New sale,0
2014-Q3,EC 10 years or more from TOP,Resale,40
2014-Q3,EC Launched,na,0
2014-Q3,EC Less than 10 years from TOP,Resale,19
2014-Q3,Uncompleted EC,New sale,162
2014-Q4,Completed EC,New sale,0
2014-Q4,EC 10 years or more from TOP,Resale,44
2014-Q4,EC Launched,na,2505
2014-Q4,EC Less than 10 years from TOP,Resale,17
2014-Q4,Uncompleted EC,New sale,1113
2015-Q1,Completed EC,New sale,8
2015-Q1,EC 10 years or more from TOP,Resale,49
2015-Q1,EC Launched,na,378
2015-Q1,EC Less than 10 years from TOP,Resale,12
2015-Q1,Uncompleted EC,New sale,318
2015-Q2,Completed EC,New sale,5
2015-Q2,EC 10 years or more from TOP,Resale,72
2015-Q2,EC Launched,na,480
2015-Q2,EC Less than 10 years from TOP,Resale,29
2015-Q2,Uncompleted EC,New sale,434
2015-Q3,Completed EC,New sale,0
2015-Q3,EC 10 years or more from TOP,Resale,81
2015-Q3,EC Launched,na,2387
2015-Q3,EC Less than 10 years from TOP,Resale,14
2015-Q3,Uncompleted EC,New sale,1212
2015-Q4,Completed EC,New sale,3
2015-Q4,EC 10 years or more from TOP,Resale,62
2015-Q4,EC Launched,na,505
2015-Q4,EC Less than 10 years from TOP,Resale,11
2015-Q4,Uncompleted EC,New sale,570
2016-Q1,Completed EC,New sale,11
2016-Q1,EC 10 years or more from TOP,Resale,50
2016-Q1,EC Launched,na,534
2016-Q1,EC Less than 10 years from TOP,Resale,10
2016-Q1,Uncompleted EC,New sale,751
2016-Q2,Completed EC,New sale,15
2016-Q2,EC 10 years or more from TOP,Resale,78
2016-Q2,EC Launched,na,1260
2016-Q2,EC Less than 10 years from TOP,Resale,10
2016-Q2,Uncompleted EC,New sale,1090
2016-Q3,Completed EC,New sale,16
2016-Q3,EC 10 years or more from TOP,Resale,95
2016-Q3,EC Launched,na,862
2016-Q3,EC Less than 10 years from TOP,Resale,8
2016-Q3,Uncompleted EC,New sale,1382
2016-Q4,Completed EC,New sale,7
2016-Q4,EC 10 years or more from TOP,Resale,54
2016-Q4,EC Launched,na,93
2016-Q4,EC Less than 10 years from TOP,Resale,7
2016-Q4,Uncompleted EC,New sale,727
2017-Q1,Completed EC,New sale,54
2017-Q1,EC 10 years or more from TOP,Resale,70
2017-Q1,EC Launched,na,1024
2017-Q1,EC Less than 10 years from TOP,Resale,6
2017-Q1,Uncompleted EC,New sale,1018
2017-Q2,Completed EC,New sale,94
2017-Q2,EC 10 years or more from TOP,Resale,93
2017-Q2,EC Launched,na,0
2017-Q2,EC Less than 10 years from TOP,Resale,12
2017-Q2,Uncompleted EC,New sale,860
2017-Q3,Completed EC,New sale,124
2017-Q3,EC 10 years or more from TOP,Resale,91
2017-Q3,EC Launched,na,531
2017-Q3,EC Less than 10 years from TOP,Resale,15
2017-Q3,Uncompleted EC,New sale,1415
2017-Q4,Completed EC,New sale,104
2017-Q4,EC 10 years or more from TOP,Resale,123
2017-Q4,EC Launched,na,0
2017-Q4,EC Less than 10 years from TOP,Resale,14
2017-Q4,Uncompleted EC,New sale,342
2018-Q1,Completed EC,New sale,186
2018-Q1,EC 10 years or more from TOP,Resale,131
2018-Q1,EC Launched,na,0
2018-Q1,EC Less than 10 years from TOP,Resale,20
2018-Q1,Uncompleted EC,New sale,75
2018-Q2,Completed EC,New sale,89
2018-Q2,EC 10 years or more from TOP,Resale,159
2018-Q2,EC Launched,na,628
2018-Q2,EC Less than 10 years from TOP,Resale,21
2018-Q2,Uncompleted EC,New sale,673
2018-Q3,Completed EC,New sale,35
2018-Q3,EC 10 years or more from TOP,Resale,86
2018-Q3,EC Launched,na,0
2018-Q3,EC Less than 10 years from TOP,Resale,102
2018-Q3,Uncompleted EC,New sale,49
2018-Q4,Completed EC,New sale,4
