shs_year,ethnic_group,number
2008,Chinese,1815000
2008,Malay,364000
2008,Indian,187000
2008,Others,37000
2013,Chinese,1907000
2013,Malay,380000
2013,Indian,209000
2013,Others,48000
2018,Chinese,1920000
2018,Malay,400000
2018,Indian,225000
2018,Others,58000
